 *  Executing task: platformio device monitor 

--- Terminal on /dev/cu.usbserial-10 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
75432 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
75432 00:00:00.000 R 09f80200 d4 fc 0f 7e 00 00 ff ff
75622 00:00:00.000 R 09fd0202 46 46 02 38 32 fa ff ff
75625 00:00:00.000 R 09f11200 d6 ff ff ff 7f f0 ff fc
75625 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
75636 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
75702 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
75703 00:00:00.000 R 09fd0202 47 49 02 b3 33 fa ff ff
75706 00:00:00.000 R 19f21420 00 eb 04 0d 00 80 70 00
75823 00:00:00.000 R 15fd0600 d6 cf 71 ff ff ff ff ff
75825 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
75825 00:00:00.000 R 15fd0700 d6 00 cf 71 ff 7f ff ff
75836 00:00:00.000 R 09f80200 d6 fc 0f 7e 00 00 ff ff
75837 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
75838 00:00:00.000 R 09f80200 d7 fd 21 7e 00 00 ff ff
76015 00:00:00.000 R 09f80200 da fd 21 7e 00 00 ff ff
76017 00:00:00.000 R 09fd0202 4a 70 02 f4 3a fa ff ff
76020 00:00:00.000 R 09f11200 da ff ff ff 7f f0 ff fc
76021 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
76031 00:00:00.000 R 09fd0202 4b 7e 02 4c 39 fa ff ff
76034 00:00:00.000 R 09f11200 db ff ff ff 7f f0 ff fc
76034 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
